"Statistic","Year","County","UNIT","VALUE"
"New House Registrations","1982","Tipperary","Number","115"
"New House Registrations","1982","Waterford","Number","284"
"New House Registrations","1982","Galway","Number","279"
"New House Registrations","1982","Leitrim","Number","6"
"New House Registrations","1982","Mayo","Number","59"
"New House Registrations","1982","Roscommon","Number","75"
"New House Registrations","1982","Sligo","Number","137"
"New House Registrations","1982","Cavan","Number","35"
"New House Registrations","1982","Donegal","Number","73"
"New House Registrations","1982","Monaghan","Number","14"
"New House Registrations","1983","All Counties","Number","10830"
"New House Registrations","1983","Carlow","Number","99"
"New House Registrations","1983","Dublin","Number","4331"
"New House Registrations","1983","Kildare","Number","640"
"New House Registrations","1983","Kilkenny","Number","142"
"New House Registrations","1983","Laois","Number","68"
"New House Registrations","1983","Longford","Number","54"
"New House Registrations","1983","Louth","Number","251"
"New House Registrations","1983","Meath","Number","277"
"New House Registrations","1983","Offaly","Number","119"
"New House Registrations","1983","Westmeath","Number","183"
"New House Registrations","1983","Wexford","Number","63"
"New House Registrations","1983","Wicklow","Number","400"
"New House Registrations","1983","Clare","Number","345"
"New House Registrations","1983","Cork","Number","1511"
"New House Registrations","1983","Kerry","Number","222"
"New House Registrations","1983","Limerick","Number","586"
"New House Registrations","1983","Tipperary","Number","215"
"New House Registrations","1983","Waterford","Number","299"
"New House Registrations","1983","Galway","Number","460"
"New House Registrations","1983","Leitrim","Number","10"
"New House Registrations","1983","Mayo","Number","84"
"New House Registrations","1983","Roscommon","Number","77"
"New House Registrations","1983","Sligo","Number","180"
"New House Registrations","1983","Cavan","Number","30"
"New House Registrations","1983","Donegal","Number","150"
"New House Registrations","1983","Monaghan","Number","34"
"New House Registrations","1984","All Counties","Number","10422"
"New House Registrations","1984","Carlow","Number","64"
"New House Registrations","1984","Dublin","Number","4810"
"New House Registrations","1984","Kildare","Number","667"
"New House Registrations","1984","Kilkenny","Number","139"
"New House Registrations","1984","Laois","Number","58"
"New House Registrations","1984","Longford","Number","35"
"New House Registrations","1984","Louth","Number","205"
"New House Registrations","1984","Meath","Number","194"
"New House Registrations","1984","Offaly","Number","42"
"New House Registrations","1984","Westmeath","Number","127"
"New House Registrations","1984","Wexford","Number","127"
"New House Registrations","1984","Wicklow","Number","338"
"New House Registrations","1984","Clare","Number","235"
"New House Registrations","1984","Cork","Number","1267"
"New House Registrations","1984","Kerry","Number","148"
"New House Registrations","1984","Limerick","Number","524"
"New House Registrations","1984","Tipperary","Number","198"
"New House Registrations","1984","Waterford","Number","335"
"New House Registrations","1984","Galway","Number","357"
"New House Registrations","1984","Leitrim","Number","25"
"New House Registrations","1984","Mayo","Number","105"
"New House Registrations","1984","Roscommon","Number","23"
"New House Registrations","1984","Sligo","Number","159"
"New House Registrations","1984","Cavan","Number","53"
"New House Registrations","1984","Donegal","Number","159"
"New House Registrations","1984","Monaghan","Number","28"
"New House Registrations","1985","All Counties","Number","8819"
"New House Registrations","1985","Carlow","Number","69"
"New House Registrations","1985","Dublin","Number","3850"
"New House Registrations","1985","Kildare","Number","522"
"New House Registrations","1985","Kilkenny","Number","134"
"New House Registrations","1985","Laois","Number","50"
"New House Registrations","1985","Longford","Number","33"
"New House Registrations","1985","Louth","Number","217"
"New House Registrations","1985","Meath","Number","154"
"New House Registrations","1985","Offaly","Number","42"
"New House Registrations","1985","Westmeath","Number","76"
"New House Registrations","1985","Wexford","Number","108"
"New House Registrations","1985","Wicklow","Number","288"
"New House Registrations","1985","Clare","Number","214"
"New House Registrations","1985","Cork","Number","1074"
"New House Registrations","1985","Kerry","Number","129"
"New House Registrations","1985","Limerick","Number","340"
"New House Registrations","1985","Tipperary","Number","222"
"New House Registrations","1985","Waterford","Number","378"
