"Statistic","Year","County","UNIT","VALUE"
"All Births","1989","Laois","Number","798"
"All Births","1989","Longford","Number","445"
"All Births","1989","Louth","Number","1256"
"All Births","1989","Meath","Number","1574"
"All Births","1989","Offaly","Number","817"
"All Births","1989","Westmeath","Number","997"
"All Births","1989","Wexford","Number","1597"
"All Births","1989","Waterford County","Number","752"
"All Births","1989","Waterford City","Number","607"
"All Births","1989","Clare","Number","1328"
"All Births","1989","Cork City","Number","1790"
"All Births","1989","Cork County","Number","4195"
"All Births","1989","Kerry","Number","1640"
"All Births","1989","Limerick City","Number","740"
"All Births","1989","Limerick County","Number","1637"
"All Births","1989","North Tipperary","Number","822"
"All Births","1989","South Tipperary","Number","1106"
"All Births","1989","Tipperary","Number",""
"All Births","1989","Galway City","Number","523"
"All Births","1989","Leitrim","Number","355"
"All Births","1989","Mayo","Number","1529"
"All Births","1989","Roscommon","Number","635"
"All Births","1989","Sligo","Number","774"
"All Births","1989","Galway County","Number","2081"
"All Births","1989","Cavan","Number","799"
"All Births","1989","Donegal","Number","1935"
"All Births","1989","Monaghan","Number","694"
"All Births","1989","Outside the State","Number",""
"All Births","1990","State","Number","53044"
"All Births","1990","Dublin City","Number","6518"
"All Births","1990","Fingal","Number","2768"
"All Births","1990","Dun Laoghaire Rathdown","Number","2493"
"All Births","1990","South Dublin","Number","3710"
"All Births","1990","Wicklow","Number","1642"
"All Births","1990","Carlow","Number","676"
"All Births","1990","Kildare","Number","2128"
"All Births","1990","Kilkenny","Number","1127"
"All Births","1990","Laois","Number","749"
"All Births","1990","Longford","Number","479"
"All Births","1990","Louth","Number","1342"
"All Births","1990","Meath","Number","1604"
"All Births","1990","Offaly","Number","876"
"All Births","1990","Westmeath","Number","967"
"All Births","1990","Wexford","Number","1637"
"All Births","1990","Waterford County","Number","780"
"All Births","1990","Waterford City","Number","591"
"All Births","1990","Clare","Number","1342"
"All Births","1990","Cork City","Number","1862"
"All Births","1990","Cork County","Number","4122"
"All Births","1990","Kerry","Number","1653"
"All Births","1990","Limerick City","Number","865"
"All Births","1990","Limerick County","Number","1711"
"All Births","1990","North Tipperary","Number","870"
"All Births","1990","South Tipperary","Number","1062"
"All Births","1990","Tipperary","Number",""
"All Births","1990","Galway City","Number","739"
"All Births","1990","Leitrim","Number","323"
"All Births","1990","Mayo","Number","1570"
"All Births","1990","Roscommon","Number","667"
"All Births","1990","Sligo","Number","789"
"All Births","1990","Galway County","Number","1953"
"All Births","1990","Cavan","Number","827"
"All Births","1990","Donegal","Number","1909"
"All Births","1990","Monaghan","Number","693"
"All Births","1990","Outside the State","Number",""
"All Births","1991","State","Number","52718"
"All Births","1991","Dublin City","Number","6782"
"All Births","1991","Fingal","Number","2832"
"All Births","1991","Dun Laoghaire Rathdown","Number","2673"
"All Births","1991","South Dublin","Number","3676"
"All Births","1991","Wicklow","Number","1572"
"All Births","1991","Carlow","Number","652"
"All Births","1991","Kildare","Number","2155"
"All Births","1991","Kilkenny","Number","1063"
"All Births","1991","Laois","Number","773"
"All Births","1991","Longford","Number","446"
"All Births","1991","Louth","Number","1309"
"All Births","1991","Meath","Number","1598"
"All Births","1991","Offaly","Number","816"
"All Births","1991","Westmeath","Number","954"
"All Births","1991","Wexford","Number","1668"
"All Births","1991","Waterford County","Number","827"
"All Births","1991","Waterford City","Number","509"
"All Births","1991","Clare","Number","1247"
"All Births","1991","Cork City","Number","1564"
"All Births","1991","Cork County","Number","4422"
"All Births","1991","Kerry","Number","1614"
"All Births","1991","Limerick City","Number","769"
"All Births","1991","Limerick County","Number","1629"
"All Births","1991","North Tipperary","Number","885"
"All Births","1991","South Tipperary","Number","1025"
"All Births","1991","Tipperary","Number",""
"All Births","1991","Galway City","Number","619"
"All Births","1991","Leitrim","Number","318"
"All Births","1991","Mayo","Number","1545"
"All Births","1991","Roscommon","Number","678"
"All Births","1991","Sligo","Number","784"
"All Births","1991","Galway County","Number","1964"
"All Births","1991","Cavan","Number","773"
"All Births","1991","Donegal","Number","1879"
"All Births","1991","Monaghan","Number","698"
"All Births","1991","Outside the State","Number",""
"All Births","1992","State","Number","51089"
"All Births","1992","Dublin City","Number","6687"
"All Births","1992","Fingal","Number","2564"
"All Births","1992","Dun Laoghaire Rathdown","Number","2414"
"All Births","1992","South Dublin","Number","3509"
"All Births","1992","Wicklow","Number","1577"
"All Births","1992","Carlow","Number","665"
"All Births","1992","Kildare","Number","2097"
"All Births","1992","Kilkenny","Number","1046"
"All Births","1992","Laois","Number","670"
"All Births","1992","Longford","Number","413"
"All Births","1992","Louth","Number","1259"
"All Births","1992","Meath","Number","1505"
"All Births","1992","Offaly","Number","845"
"All Births","1992","Westmeath","Number","954"
"All Births","1992","Wexford","Number","1586"
"All Births","1992","Waterford County","Number","808"
"All Births","1992","Waterford City","Number","495"
"All Births","1992","Clare","Number","1260"
"All Births","1992","Cork City","Number","1613"
"All Births","1992","Cork County","Number","4201"
"All Births","1992","Kerry","Number","1577"
"All Births","1992","Limerick City","Number","758"
"All Births","1992","Limerick County","Number","1643"
"All Births","1992","North Tipperary","Number","863"
"All Births","1992","South Tipperary","Number","1004"
"All Births","1992","Tipperary","Number",""
"All Births","1992","Galway City","Number","746"
"All Births","1992","Leitrim","Number","332"
"All Births","1992","Mayo","Number","1463"
"All Births","1992","Roscommon","Number","603"
"All Births","1992","Sligo","Number","746"
"All Births","1992","Galway County","Number","1937"
"All Births","1992","Cavan","Number","767"
"All Births","1992","Donegal","Number","1771"
"All Births","1992","Monaghan","Number","711"
"All Births","1992","Outside the State","Number",""
"All Births","1993","State","Number","49304"
"All Births","1993","Dublin City","Number","6562"
"All Births","1993","Fingal","Number","2539"
"All Births","1993","Dun Laoghaire Rathdown","Number","2298"
"All Births","1993","South Dublin","Number","3440"
"All Births","1993","Wicklow","Number","1520"
"All Births","1993","Carlow","Number","616"
"All Births","1993","Kildare","Number","2019"
"All Births","1993","Kilkenny","Number","996"
"All Births","1993","Laois","Number","667"
"All Births","1993","Longford","Number","397"
"All Births","1993","Louth","Number","1181"
"All Births","1993","Meath","Number","1480"
"All Births","1993","Offaly","Number","791"
"All Births","1993","Westmeath","Number","991"
"All Births","1993","Wexford","Number","1469"
"All Births","1993","Waterford County","Number","701"
"All Births","1993","Waterford City","Number","554"
"All Births","1993","Clare","Number","1252"
"All Births","1993","Cork City","Number","1581"
"All Births","1993","Cork County","Number","4114"
"All Births","1993","Kerry","Number","1438"
"All Births","1993","Limerick City","Number","669"
"All Births","1993","Limerick County","Number","1652"
"All Births","1993","North Tipperary","Number","852"
"All Births","1993","South Tipperary","Number","962"
"All Births","1993","Tipperary","Number",""
"All Births","1993","Galway City","Number","683"
"All Births","1993","Leitrim","Number","282"
"All Births","1993","Mayo","Number","1314"
"All Births","1993","Roscommon","Number","552"
"All Births","1993","Sligo","Number","719"
"All Births","1993","Galway County","Number","1846"
"All Births","1993","Cavan","Number","732"
"All Births","1993","Donegal","Number","1790"
"All Births","1993","Monaghan","Number","645"
"All Births","1993","Outside the State","Number",""
"All Births","1994","State","Number","48255"
"All Births","1994","Dublin City","Number","6278"
"All Births","1994","Fingal","Number","2782"
"All Births","1994","Dun Laoghaire Rathdown","Number","2533"
"All Births","1994","South Dublin","Number","3143"
"All Births","1994","Wicklow","Number","1492"
"All Births","1994","Carlow","Number","597"
"All Births","1994","Kildare","Number","2071"
"All Births","1994","Kilkenny","Number","924"
"All Births","1994","Laois","Number","688"
"All Births","1994","Longford","Number","368"
"All Births","1994","Louth","Number","1189"
"All Births","1994","Meath","Number","1391"
"All Births","1994","Offaly","Number","705"
"All Births","1994","Westmeath","Number","956"
"All Births","1994","Wexford","Number","1400"
"All Births","1994","Waterford County","Number","653"
"All Births","1994","Waterford City","Number","555"
"All Births","1994","Clare","Number","1157"
"All Births","1994","Cork City","Number","1580"
"All Births","1994","Cork County","Number","4021"
"All Births","1994","Kerry","Number","1506"
"All Births","1994","Limerick City","Number","704"
"All Births","1994","Limerick County","Number","1520"
"All Births","1994","North Tipperary","Number","876"
"All Births","1994","South Tipperary","Number","918"
"All Births","1994","Tipperary","Number",""
"All Births","1994","Galway City","Number","746"
"All Births","1994","Leitrim","Number","268"
"All Births","1994","Mayo","Number","1311"
"All Births","1994","Roscommon","Number","518"
"All Births","1994","Sligo","Number","729"
"All Births","1994","Galway County","Number","1658"
"All Births","1994","Cavan","Number","698"
"All Births","1994","Donegal","Number","1721"
"All Births","1994","Monaghan","Number","599"
"All Births","1994","Outside the State","Number",""
"All Births","1995","State","Number","48787"
"All Births","1995","Dublin City","Number","6185"
"All Births","1995","Fingal","Number","2775"
"All Births","1995","Dun Laoghaire Rathdown","Number","2592"
"All Births","1995","South Dublin","Number","3329"
"All Births","1995","Wicklow","Number","1488"
"All Births","1995","Carlow","Number","548"
"All Births","1995","Kildare","Number","2074"
"All Births","1995","Kilkenny","Number","943"
"All Births","1995","Laois","Number","692"
"All Births","1995","Longford","Number","381"
"All Births","1995","Louth","Number","1217"
"All Births","1995","Meath","Number","1436"
"All Births","1995","Offaly","Number","808"
"All Births","1995","Westmeath","Number","964"
"All Births","1995","Wexford","Number","1478"
"All Births","1995","Waterford County","Number","692"
"All Births","1995","Waterford City","Number","584"
"All Births","1995","Clare","Number","1171"
"All Births","1995","Cork City","Number","1571"
